"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20191","11","서울시","CS300014","신발","152714552209","1558742","95862373090","56852179119","17970264416","18471865217","18357069538","19477599825","21585574094","34432371678","22419807441","667129267","5823984195","39030448407","49034195721","52455283920","5703510699","74154053570","69725662134","1966903915","35183322784","39271284054","24821830609","24294738786","18341635552","986197","572545","175790","190203","187524","199691","232989","328676","243869","1440","62123","353044","514316","552148","75671","695742","821974","26793","426610","352575","245619","264902","201223"
"20191","11","서울시","CS300027","섬유제품","39852172324","350630","29635882996","10216289328","4621063335","5581325078","5381811898","7488993853","6562688832","6821974690","3394314638","0","3815884121","11866003115","15820411155","8015638869","334235064","14057889032","21815791020","84622530","2244377337","6223217240","5840092119","9409398995","12071971834","259257","91373","45011","49131","47680","59445","57990","60355","31018","0","35407","92662","129684","88325","4552","125753","197110","2689","43362","63499","57496","81188","74626"
"20191","11","서울시","CS200032","가전제품수리","8578986024","125406","7152767437","1426218587","1597500874","1108449639","1495686674","1608348393","1342781857","1280688606","145529981","0","1842449325","2649538585","2885765514","1171880988","29351612","4676930522","3190457306","14519712","501070947","1377937460","2105087023","2339719359","1529053326","105103","20303","22933","17935","20674","23892","19669","18452","1851","0","20997","41703","46437","16183","86","65137","52380","310","8191","20317","29942","30851","27897"
"20191","11","서울시","CS300043","전자상거래업","180046206585","2663108","129686504072","50359702513","23532458047","19136803601","20658907202","36796124044","29562211178","30490946210","19868756303","2343096052","12347557851","38228380276","67897813456","48553071902","10676287048","73017345201","95647810790","955498370","26953734707","38124727187","45710848103","32486277001","24434092606","1717444","945664","295161","304984","331899","372462","412938","537247","408417","60985","175857","582771","850926","790072","202496","991140","1602283","51215","798002","670326","559442","352217","162225"
"20191","11","서울시","CS100002","중식음식점","179723947728","6131646","127506942064","52217005664","20367714726","24100045253","25704387267","27412679308","29922115510","27528540356","24688465308","4946352946","1431289534","55992924685","23392134184","69266000241","24695246138","87137783825","55264827062","934596177","29495329602","38077937558","34595894849","25443286628","13855566056","4420028","1711618","731717","838177","892283","952765","1005086","898075","813543","130224","83036","2478804","964352","2044506","430724","3311992","2221596","70539","1384615","1425464","1286859","899453","466676"
"20191","11","서울시","CS100008","분식전문점","223496747087","21490259","160697352063","62799395024","27714780938","30249383343","32246287853","34565563560","35921336369","34801711458","27997683566","8254205391","15188726985","61335038957","39476592695","74332534072","24909648987","98834306458","104216479671","4261181743","55252256248","50060038926","49715027536","30590720572","13172397685","15720976","5769283","2801826","2997274","3154812","3364015","3403049","3182931","2586352","593918","1818909","5938734","3899171","7169199","2070328","9739345","10923528","546786","6181596","5196638","4821801","2836993","1079008"
"20191","11","서울시","CS300021","문구","314052282563","11612146","277700904853","36351377710","49914843408","54246678030","55203116605","63953470857","54382795953","26857693340","9493684370","67789951","44489680572","92305346660","114268370917","60715213237","2205881226","85283340684","80198061896","2465915801","17262610239","25620040630","52810229795","44257484622","23064765510","9680658","1931488","1932070","1878782","1968737","2073254","1827815","1257969","673519","7935","1295820","3303491","3809624","3002352","192924","4214337","4922461","352564","1909186","1917334","2803223","1411592","742830"
"20191","11","서울시","CS100006","패스트푸드점","146279664728","13535951","99206662401","47073002327","16778051633","19046223515","20037260291","20803489412","22541637550","23945914381","23127087946","4259751054","7671882464","35713231357","26918615175","54093604778","17622579900","72127392463","63236645274","2770424626","43484933602","34147031476","29173742521","18969051016","6818854531","9486681","4049270","1673783","1838998","1915303","1991565","2067032","2097338","1951932","404130","1087605","3342693","2599620","4540187","1561716","6864115","6306539","371186","4739121","3221314","2569635","1642996","626420"
"20191","11","서울시","CS200006","일반의원","1104825275681","34788732","912463269202","192362006479","189019685294","165004069487","165377090191","187691217006","205371207224","183309037303","9052969176","126398480","226154566308","349896690615","341140976207","186079239171","1427404900","405794264537","696340381973","2969992975","154070067122","228460566494","260043939437","262919926197","193669128297","29267152","5521580","6535284","5062530","5406596","6090583","6172159","5223175","298405","493","8087582","9896312","11179009","5604208","21128","15641312","19122243","199102","3893153","7299472","8486310","7326687","7558822"
"20191","11","서울시","CS200019","PC방","72573043316","15419045","47312743993","25260299323","8802305359","9285466243","9115345247","9325158685","10784468459","12874364191","12385935132","13253398726","4394993723","6728981402","11707162894","21030319782","15458186789","60285883209","12250693083","4696255968","49516306121","11165605760","3652806860","2987247917","518353665","10118532","5300513","1883085","1999261","1949058","2000330","2286798","2695384","2605129","2642135","868952","1390213","2642406","4652612","3222727","12525923","2890210","1493007","10439680","1969041","759826","652139","102439"
